Package,Version,CVE,Severity
apt,2.2.4,CVE-2020-12113,MEDIUM
apt,2.2.4,CVE-2017-6014,HIGH
apt,2.2.4,CVE-2017-6467,HIGH
apt,2.2.4,CVE-2017-6470,HIGH
apt,2.2.4,CVE-2017-6472,HIGH
apt,2.2.4,CVE-2017-6474,HIGH
apt,2.2.4,CVE-2017-6468,HIGH
apt,2.2.4,CVE-2017-6473,HIGH
apt,2.2.4,CVE-2017-6471,HIGH
apt,2.2.4,CVE-2017-6469,HIGH
cpio,2.13,CVE-2019-14866,HIGH
cpio,2.13,CVE-2021-38185,HIGH
discover,2.1.28,CVE-2018-13796,MEDIUM
init,1.60,CVE-2022-40769,HIGH
init,1.60,CVE-2018-12903,MEDIUM
init,1.60,CVE-2009-3244,None
p7zip,16.02,CVE-2016-9296,HIGH
sed,4.71,CVE-2006-6641,None
sed,4.71,CVE-2006-0806,None
tar,1.34,CVE-2023-28436,HIGH
tar,1.34,CVE-2022-48303,HIGH
tar,1.34,CVE-2023-22465,MEDIUM
tar,1.34,CVE-2020-26121,HIGH
tar,1.34,CVE-2020-8994,MEDIUM
tar,1.34,CVE-2018-15715,CRITICAL
